seed,result,endReason,finalScore,finalCoins,turns,turnWhenGridHalf,turnWhenGridFull,noActionTurns
mc-balance-150,win,all_challenges,110.49561375000002,71.15561375000001,15,9,15,0
mc-balance-151,win,score_threshold,149.1128125,115.0728125,11,7,,0
mc-balance-152,win,score_threshold,139.008605625,120.358605625,12,8,,0
mc-balance-153,win,score_threshold,136.10859037499998,117.98859037499997,9,5,,0
mc-balance-154,win,score_threshold,135.407256625,112.19725662500001,14,9,14,0
mc-balance-155,win,score_threshold,122.58386171875,103.44386171875,9,5,,0
mc-balance-156,win,score_threshold,125.41864625000001,108.12864625,10,6,,0
mc-balance-157,win,score_threshold,140.92295559374998,114.67295559374998,10,7,,0
mc-balance-158,loss,bankruptcy,1.3092374999999996,-0.5907625000000003,7,,,0
mc-balance-159,win,score_threshold,141.47296278124998,119.59296278124998,12,6,11,0
mc-balance-160,loss,bankruptcy,1.85,-0.5,9,,,0
mc-balance-161,win,score_threshold,188.21875671875,143.03875671875,16,8,13,0
mc-balance-162,win,score_threshold,122.58056828125002,101.41056828125002,13,6,11,0
mc-balance-163,win,score_threshold,125.04545542499999,109.05545542499999,13,8,13,0
mc-balance-164,win,score_threshold,126.47349984375003,104.69349984375003,11,7,,0
mc-balance-165,win,score_threshold,120.86408515625,101.22408515625,16,11,16,0
mc-balance-166,win,score_threshold,129.48997953125001,110.61997953125,15,10,15,0
mc-balance-167,win,score_threshold,129.18306785,106.80306784999999,13,5,10,0
mc-balance-168,win,score_threshold,132.3287803125,111.8987803125,11,7,,0
mc-balance-169,loss,reputation_collapse,3,3,2,,,0
mc-balance-170,win,score_threshold,140.4966266875,107.56662668749999,16,11,16,0
mc-balance-171,win,score_threshold,152.94054921874996,121.56054921874997,11,6,11,0
mc-balance-172,win,score_threshold,134.163477125,105.17347712499999,11,6,11,0
mc-balance-173,win,score_threshold,128.6695253125,112.01952531250001,10,7,,0
mc-balance-174,win,score_threshold,122.63282171875,110.15282171874999,10,7,,0
mc-balance-175,win,score_threshold,158.42935871874997,128.44935871874998,10,6,,0
mc-balance-176,win,score_threshold,157.75829203125002,140.38829203125002,12,8,,0
mc-balance-177,win,score_threshold,148.80129803124996,117.92129803124996,11,7,,0
mc-balance-178,win,score_threshold,136.273146875,95.183146875,15,6,11,0
mc-balance-179,win,score_threshold,153.90566593750003,142.01566593750002,11,7,,0
mc-balance-180,win,score_threshold,155.379605,125.129605,11,6,11,0
mc-balance-181,win,score_threshold,141.55847500000004,105.11847500000005,19,12,17,0
mc-balance-182,win,score_threshold,141.57706359374998,114.71706359375,10,6,,0
mc-balance-183,loss,reputation_collapse,3.7899375000000006,4.5899375000000004,2,,,0
mc-balance-184,win,score_threshold,150.747575,131.817575,10,7,,0
mc-balance-185,win,score_threshold,136.71808468749998,109.0180846875,10,6,,0
mc-balance-186,loss,bankruptcy,1.4464156250000002,-0.003584374999999973,4,,,0
mc-balance-187,win,score_threshold,128.75147950000002,118.41147950000001,12,5,10,0
mc-balance-188,win,score_threshold,154.26292312499996,127.80292312499996,14,7,12,0
mc-balance-189,loss,reputation_collapse,6,6,2,,,0
mc-balance-190,win,score_threshold,133.16804628125,105.82804628125001,14,8,13,0
mc-balance-191,win,score_threshold,175.69288703125002,152.96288703125003,14,8,14,0
mc-balance-192,win,score_threshold,134.7341471875,107.3541471875,12,7,12,0
mc-balance-193,win,score_threshold,137.1443866875,120.37438668749999,12,7,12,0
mc-balance-194,win,score_threshold,134.679896875,121.869896875,14,8,13,0
mc-balance-195,loss,reputation_collapse,0.7499999999999999,1,5,,,0
mc-balance-196,win,score_threshold,123.84122656250001,104.81122656250001,11,5,10,0
mc-balance-197,win,score_threshold,136.22139500625,125.32139500624999,9,6,,0
mc-balance-198,win,all_challenges,99.690195625,62.34019562500001,11,8,,0
mc-balance-199,win,score_threshold,125.2005965625,104.0605965625,10,7,,0
